SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
ENSG00000005073,1,0,1,0,1,1,0,0
ENSG00000005075,797,828,1010,529,980,1265,678,682
ENSG00000005100,434,445,487,356,522,695,379,628
ENSG00000005102,1,0,0,0,3,0,0,0
ENSG00000005108,9,7,6,8,9,20,12,15
ENSG00000005156,229,143,242,93,347,409,182,126
ENSG00000005175,347,294,237,123,513,449,345,298
ENSG00000005187,4,6,12,10,9,10,12,6
ENSG00000005189,82,62,88,58,92,53,93,71
ENSG00000005194,413,410,557,352,537,685,355,428
ENSG00000005206,680,586,760,418,748,1049,583,632
ENSG00000005238,805,627,850,396,989,957,596,621
ENSG00000005243,1132,928,1332,755,990,1088,1038,940
ENSG00000005249,220,242,281,317,291,387,209,413
ENSG00000005302,481,523,495,316,496,687,404,379
ENSG00000005339,2639,1917,3135,1491,3225,3957,2378,2557
ENSG00000005379,186,152,122,87,171,311,118,130
ENSG00000005381,4,10,9,1,0,3,6,3
ENSG00000005421,0,0,0,0,1,0,0,0
ENSG00000005436,214,216,282,182,318,422,238,252
ENSG00000005448,229,206,270,152,234,432,166,247
ENSG00000005469,498,379,305,171,626,508,515,472
ENSG00000005471,64,18,60,17,21,18,52,22
ENSG00000005483,1679,1466,1698,1096,2159,2558,1546,1782
ENSG00000005486,768,618,1110,564,1185,1423,763,687
ENSG00000005513,10,2,5,0,5,3,5,7
ENSG00000005700,1069,824,1512,790,1335,1703,1157,1165
ENSG00000005801,200,172,295,136,320,279,197,150
ENSG00000005810,2688,2018,2621,1535,2946,3682,2216,2298
ENSG00000005812,1361,1380,1381,1300,1126,1815,1162,1680
ENSG00000005844,1,0,2,0,1,1,1,0
ENSG00000005882,610,546,740,407,817,774,650,704
ENSG00000005884,708,655,1566,1114,1328,2635,1207,1457
ENSG00000005889,679,593,771,465,857,1115,929,1028
ENSG00000005893,5102,4470,6219,3853,5653,6954,4722,5161
ENSG00000005955,1329,1279,1772,1055,1705,1918,1152,1465
ENSG00000005961,5,11,12,3,7,5,14,10
ENSG00000005981,0,0,0,0,0,0,0,0
ENSG00000006007,1941,1825,2481,1676,2858,3584,1729,2105
ENSG00000006015,517,463,410,191,260,366,410,375
ENSG00000006016,132,95,98,82,79,168,243,263
ENSG00000006025,229,132,278,78,185,97,205,104
ENSG00000006042,2986,2393,3664,2077,3852,4572,2927,3010
ENSG00000006047,0,1,1,0,1,0,3,0
ENSG00000006059,0,0,0,0,0,0,0,0
ENSG00000006062,272,224,274,79,287,177,199,116
ENSG00000006071,0,0,0,0,0,0,0,0
ENSG00000006074,0,0,0,0,0,0,0,1
ENSG00000006075,0,0,0,0,0,0,0,0
ENSG00000006114,1224,711,1310,560,1537,1211,990,742
ENSG00000006116,0,0,0,0,0,0,0,0
ENSG00000006118,513,336,579,254,738,594,380,247
ENSG00000006125,7174,5362,7780,5110,8105,9420,5580,6653
ENSG00000006128,0,4,1,0,0,0,0,0
ENSG00000006194,540,451,583,433,664,844,499,508
ENSG00000006210,5,6,2,3,3,15,12,31
ENSG00000006282,1747,1317,1334,715,1633,1868,1355,1314
ENSG00000006283,113,45,40,5,157,77,80,25
ENSG00000006327,540,348,668,258,720,1360,582,367
ENSG00000006377,0,0,0,0,0,0,0,0
ENSG00000006432,5,4,7,5,12,7,1,2
ENSG00000006451,1791,920,1143,544,1574,1155,1102,801
ENSG00000006453,141,99,207,108,195,219,158,129
ENSG00000006459,430,327,338,289,462,373,438,499
ENSG00000006468,214,94,207,120,171,229,315,263
ENSG00000006530,303,276,344,203,420,467,268,277
ENSG00000006534,875,1108,1391,856,1521,2571,525,843
ENSG00000006555,0,0,0,0,0,0,0,0
ENSG00000006576,924,653,1538,678,1347,1144,1454,1016
ENSG00000006606,3,4,7,1,7,10,2,2
ENSG00000006607,652,733,924,776,674,1458,738,1144
ENSG00000006611,0,0,0,0,0,0,0,0
ENSG00000006625,207,186,216,101,289,333,171,133
ENSG00000006634,98,70,104,48,113,103,96,72
ENSG00000006638,90,47,112,43,75,49,67,52
ENSG00000006652,889,823,1047,586,1581,1768,1178,1097
ENSG00000006659,0,0,0,0,0,0,0,0
ENSG00000006695,166,150,221,130,209,356,139,170
ENSG00000006704,309,221,346,170,330,276,299,331
ENSG00000006712,991,866,1504,715,1575,1480,1054,938
ENSG00000006715,2054,1582,2681,1578,2825,3223,2174,2138
ENSG00000006740,37,26,27,18,38,38,48,55
ENSG00000006744,928,935,1065,617,1090,1344,693,924
ENSG00000006747,3,3,1,0,2,3,2,2
ENSG00000006756,391,295,488,278,541,598,449,562
ENSG00000006757,119,140,175,86,203,221,141,143
ENSG00000006788,4,35,0,1,5,17,0,20
ENSG00000006831,1070,1033,1187,851,1181,1615,878,1102
ENSG00000006837,17,6,13,7,17,13,15,8
ENSG00000007001,3,3,4,0,3,0,1,1
ENSG00000007038,1,0,5,2,0,0,1,4
ENSG00000007047,741,675,840,553,979,1121,700,798
ENSG00000007062,1,0,1,0,0,1,0,0
ENSG00000007080,617,697,698,393,786,1169,473,586
ENSG00000007129,0,0,0,0,0,0,0,0
ENSG00000007168,3191,2910,3808,2388,3809,4813,2846,3212
ENSG00000007171,0,2,0,0,2,2,5,1
ENSG00000007174,0,1,1,0,2,1,1,0
ENSG00000007202,4196,3353,5237,2825,5104,6764,3823,3978
ENSG00000007216,0,0,0,0,0,0,0,0
ENSG00000007237,404,114,309,42,277,144,1343,730
ENSG00000007255,129,145,116,115,139,175,114,101
ENSG00000007264,0,0,0,0,0,1,0,0
ENSG00000007306,0,0,0,0,0,0,0,0
ENSG00000007312,1,2,0,4,5,0,1,2
ENSG00000007314,0,1,2,1,1,0,1,0
ENSG00000007341,138,110,154,77,189,297,144,189
ENSG00000007350,0,0,0,0,0,0,0,0
ENSG00000007372,32,35,27,22,22,38,41,39
ENSG00000007376,281,274,224,122,309,404,218,253
ENSG00000007384,1982,1878,1987,1001,1937,2524,1714,1983
ENSG00000007392,770,591,820,415,836,826,626,613
ENSG00000007402,18,13,12,20,15,10,17,31
ENSG00000007516,5,8,7,5,12,12,7,11
ENSG00000007520,494,464,488,252,487,728,396,436
ENSG00000007541,731,621,682,369,641,1005,557,730
ENSG00000007545,203,207,227,148,248,303,197,191
ENSG00000007866,1474,2063,1696,1375,1246,2207,1123,1765
ENSG00000007908,0,0,0,0,0,0,0,0
ENSG00000007923,561,533,702,393,824,1009,540,549
ENSG00000007933,761,785,2179,1583,224,346,280,284
ENSG00000007944,373,245,522,193,514,445,321,232
ENSG00000007952,10,11,8,9,12,17,4,9
ENSG00000007968,1,4,1,2,0,2,0,0
ENSG00000008018,1669,1479,1787,1096,1633,1970,1340,1398
ENSG00000008056,8,24,25,15,15,24,13,21
ENSG00000008083,277,260,284,220,308,541,227,364
ENSG00000008086,98,90,128,37,142,176,106,93
ENSG00000008118,3,3,9,2,9,4,6,12
ENSG00000008128,32,23,24,10,14,17,30,28
ENSG00000008130,1276,1814,1413,1420,1445,2354,1103,2475
ENSG00000008196,1,1,1,1,0,0,0,0
ENSG00000008197,0,0,0,0,0,0,0,0
ENSG00000008226,9,4,5,2,6,3,5,14
ENSG00000008256,1815,3053,3036,3707,2771,8634,2115,5313
ENSG00000008277,17,14,23,14,21,17,23,16
ENSG00000008282,1874,1763,1958,1647,1894,2700,1835,2144
ENSG00000008283,559,480,612,339,629,837,440,427
ENSG00000008294,2819,2278,3539,2009,3259,3911,2953,2980
ENSG00000008300,62,81,87,49,124,175,72,87
ENSG00000008311,494,949,565,655,451,1037,447,1103
ENSG00000008323,7,12,4,3,11,19,5,5
ENSG00000008324,111,153,85,102,109,146,114,142
ENSG00000008382,81,66,88,49,110,147,69,81
ENSG00000008394,2722,2822,2967,1948,7202,8116,2520,2678
ENSG00000008405,249,261,269,165,277,411,312,253
ENSG00000008438,0,6,1,1,1,1,0,3
ENSG00000008441,13653,9483,13436,6080,12077,11576,12068,9821
ENSG00000008513,2057,1206,1752,588,2655,2319,1624,1090
ENSG00000008516,3,1,3,0,6,5,2,3
ENSG00000008517,277,120,323,97,92,100,290,164
ENSG00000008710,4997,5334,5264,3282,4274,9038,4670,7609
ENSG00000008735,13,21,18,13,18,14,14,26
ENSG00000008838,1228,1002,1320,685,1431,1724,1022,1128
ENSG00000008853,429,487,510,442,513,822,473,828
ENSG00000008869,737,646,780,471,798,947,673,731
ENSG00000008952,4473,4375,5375,3611,5753,8077,4886,5187
ENSG00000008988,12982,11687,13055,6973,11456,13255,9469,9293
ENSG00000009307,14887,12833,19863,11612,19887,22097,13495,14987
ENSG00000009335,2019,2042,2213,1518,2429,3246,1742,2027
ENSG00000009413,4986,9573,5214,7251,5563,10312,4700,11982
ENSG00000009694,20,7,2,2,2,0,1,1
ENSG00000009709,0,0,0,0,0,0,0,0
ENSG00000009724,38,28,66,24,42,41,47,36
ENSG00000009765,0,2,0,1,0,2,0,3
ENSG00000009780,153,209,153,165,147,198,140,206
ENSG00000009790,18,11,15,7,12,14,10,10
ENSG00000009830,425,418,440,295,508,611,374,363
ENSG00000009844,829,672,1049,545,1087,1229,752,820
ENSG00000009950,2,9,1,1,0,0,0,5
ENSG00000009954,2800,2611,3397,1970,3813,3894,2838,2788
ENSG00000010017,1300,1960,1559,1655,1705,2501,1407,2681
ENSG00000010030,28,13,20,8,15,10,17,8
ENSG00000010072,169,141,202,125,212,221,164,156
ENSG00000010165,947,938,1152,605,1030,1122,807,797
ENSG00000010219,200,157,246,110,256,266,172,146
ENSG00000010244,2085,1998,2170,1331,2616,3317,1545,1756
ENSG00000010256,1630,1776,1661,1331,1973,3206,1240,1964
ENSG00000010270,879,803,837,511,961,1038,591,686
ENSG00000010278,3125,3522,3829,3645,2693,5055,3603,5260
ENSG00000010282,0,0,0,0,0,0,0,0
ENSG00000010292,1331,1028,1365,823,1281,1498,1073,1296
ENSG00000010295,1427,1228,1714,820,936,1046,1187,1273
ENSG00000010310,11,5,29,6,23,12,22,12
ENSG00000010318,68,56,80,60,85,70,81,88
ENSG00000010319,1,0,2,0,0,2,0,1
ENSG00000010322,2635,1889,3298,1480,3737,3715,2447,2226
ENSG00000010327,0,0,1,1,0,1,1,1
ENSG00000010361,188,178,236,132,150,191,165,227
ENSG00000010379,0,1,4,1,0,0,0,0
ENSG00000010404,1483,1306,2374,1593,2171,3097,1790,2175
ENSG00000010438,5,5,10,5,17,35,26,19
ENSG00000010539,128,99,139,83,153,177,122,97
ENSG00000010610,31,23,95,49,133,136,24,17
ENSG00000010626,149,107,194,105,169,180,151,113
ENSG00000010671,0,0,0,0,1,1,0,0
ENSG00000010704,513,315,595,327,483,521,462,494
ENSG00000010803,758,686,864,523,966,1042,702,714
ENSG00000010810,1689,1674,1655,933,2496,2859,1318,1466
ENSG00000010818,1654,1096,1795,742,2004,2053,1371,1099
ENSG00000010932,14,20,80,61,0,21,23,23
ENSG00000011007,1184,1093,1130,789,1249,1621,877,1052
ENSG00000011009,452,473,489,292,514,755,391,465
ENSG00000011021,697,581,629,382,667,820,569,714
ENSG00000011028,18210,13395,23978,10779,18026,19714,16880,15349
ENSG00000011052,0,0,0,0,0,0,0,0
ENSG00000011083,0,0,1,1,1,0,0,0
ENSG00000011105,3067,2923,3305,2380,3330,5276,3853,4784
ENSG00000011114,1278,1090,1233,806,1397,1755,1079,1110
ENSG00000011132,186,200,220,115,223,270,164,192
ENSG00000011143,185,132,203,86,145,138,145,131
ENSG00000011198,597,1420,824,1035,1244,1946,576,1692
ENSG00000011201,1,0,1,0,0,0,0,0
ENSG00000011243,675,603,810,369,935,878,604,575
ENSG00000011258,421,279,412,225,487,411,418,360
ENSG00000011260,472,469,375,294,428,561,325,389
ENSG00000011275,1709,1488,1906,1069,2174,2655,1579,1654
ENSG00000011295,399,370,437,331,454,552,372,379
ENSG00000011304,3594,3854,3158,2420,3609,5568,3118,3948
ENSG00000011332,11,8,18,9,12,24,5,7
ENSG00000011347,182,100,161,59,233,148,247,95
ENSG00000011376,561,482,445,268,459,611,346,333
ENSG00000011405,1115,1271,1550,1100,1832,2694,1221,1672
ENSG00000011422,389,349,502,240,340,561,406,397
ENSG00000011426,251,228,250,145,274,313,199,192
ENSG00000011451,1589,1667,1666,925,1689,2141,1405,1415
ENSG00000011454,1872,1815,2408,2249,2322,3745,1846,2501
ENSG00000011465,219586,191767,422752,214062,293318,313112,378834,372489
ENSG00000011478,101,130,131,135,123,252,110,163
ENSG00000011485,789,1106,911,667,1018,1666,672,1110
ENSG00000011523,709,677,1001,557,1008,1240,658,949
ENSG00000011566,880,1189,1295,1207,1359,3045,856,1722
ENSG00000011590,3,6,7,1,1,6,0,0
ENSG00000011600,0,1,4,3,0,0,3,2
ENSG00000011638,958,816,877,683,871,988,921,1011
ENSG00000011677,0,1,0,0,0,0,0,0
ENSG00000012048,322,98,418,95,326,168,265,155
ENSG00000012061,812,747,1105,492,1038,1454,657,713
ENSG00000012124,0,1,0,0,0,1,0,0
ENSG00000012171,1821,940,2266,654,1361,1049,1382,953
ENSG00000012174,713,607,812,516,805,1134,650,709
ENSG00000012211,124,136,127,68,140,181,103,129
ENSG00000012223,0,0,0,1,4,4,0,0
ENSG00000012232,1145,983,1402,889,1597,1982,1109,1281
ENSG00000012504,0,0,0,0,0,0,0,1
ENSG00000012660,2045,1814,2584,2229,2275,3863,1863,2650
ENSG00000012779,0,2,0,0,0,0,0,0
ENSG00000012817,1094,988,1254,628,1392,1414,1,1
ENSG00000012822,4637,5256,6763,4921,6378,8615,4635,7894
ENSG00000012963,572,525,684,380,562,518,571,518
ENSG00000012983,1782,1400,2309,1231,2551,2868,1768,1724
ENSG00000013016,2011,3335,1842,1018,1832,3358,1197,1535
ENSG00000013275,1005,983,1002,660,1096,1429,739,778
ENSG00000013288,3030,2465,4089,2353,4067,5100,2208,2814
ENSG00000013293,268,23,435,56,558,75,562,74
ENSG00000013297,6494,1515,5298,1369,5198,1173,5335,1735
ENSG00000013306,1011,963,1092,558,1323,1505,813,847
ENSG00000013364,8611,7956,8539,5287,7726,10024,6716,8061
ENSG00000013374,1036,1070,1483,951,1550,1816,1031,1298
ENSG00000013375,1031,726,1277,541,1380,1603,1020,798
ENSG00000013392,243,153,301,162,329,333,299,245
ENSG00000013441,2512,2587,2403,2111,3280,3406,2235,2991
ENSG00000013503,248,252,304,168,311,404,202,219
ENSG00000013523,358,299,451,190,486,434,353,289
ENSG00000013561,788,845,960,755,989,1242,676,930
ENSG00000013563,140,110,212,146,255,289,143,137
ENSG00000013573,337,210,254,81,226,205,248,199
ENSG00000013583,1181,1174,1435,1240,1594,2112,987,1548
ENSG00000013588,531,409,920,538,868,635,380,464
ENSG00000013619,795,1112,1211,816,1314,1692,870,1184
ENSG00000013725,0,0,0,0,0,0,0,0
ENSG00000013810,75,88,98,45,58,87,57,63
ENSG00000014123,930,699,995,619,1123,1124,870,837
ENSG00000014138,192,139,217,99,156,177,168,152
ENSG00000014164,585,486,588,296,532,704,259,301
ENSG00000014216,3263,3554,3997,2439,3454,5221,2780,3525
ENSG00000014257,16,11,21,7,15,26,28,6
ENSG00000014641,1613,1303,1876,1058,1834,2022,1274,1262
ENSG00000014824,1160,980,1561,997,1621,2217,1068,1256
ENSG00000014914,590,350,814,396,672,513,702,558
ENSG00000014919,699,559,778,448,785,840,537,524
ENSG00000015133,5,9,4,7,5,8,5,1
ENSG00000015153,185,270,233,203,262,311,173,212
ENSG00000015171,2085,1840,2567,1466,2761,3188,2027,1941
ENSG00000015285,6,5,10,1,10,4,4,1
ENSG00000015413,0,2,0,1,0,7,0,3
ENSG00000015475,274,261,364,214,533,602,251,245
ENSG00000015479,7206,5499,8268,4596,8997,9147,6556,6136
ENSG00000015520,21,4,24,1,70,17,19,1
ENSG00000015532,716,608,760,416,792,1068,574,627
ENSG00000015568,1045,858,1422,729,1817,1734,1235,1051
ENSG00000015592,0,2,0,1,0,1,1,1
ENSG00000015676,1741,1509,1826,1186,1748,2018,1476,1492
ENSG00000016082,0,0,0,0,0,0,0,0
ENSG00000016391,161,21,164,26,70,29,218,58
ENSG00000016402,17,10,12,3,5,1,22,11
ENSG00000016490,0,1,0,0,0,0,1,0
ENSG00000016602,1,0,0,0,0,0,0,0
ENSG00000016864,1544,1449,1854,1220,1483,1726,1590,1684
ENSG00000017260,2832,2074,3156,1862,3269,3477,3117,2715
ENSG00000017373,0,1,1,1,1,2,0,0
ENSG00000017427,1059,877,1364,688,498,279,1051,701
ENSG00000017483,757,348,630,112,555,529,564,260
ENSG00000017621,20,11,26,11,22,24,16,19
ENSG00000017797,2893,3638,2933,2418,3462,5543,2333,4087
ENSG00000018189,1123,809,1195,614,1474,1262,952,779
ENSG00000018236,49,49,35,40,41,61,43,48
ENSG00000018280,8,3,7,3,3,7,5,8
ENSG00000018408,2883,2568,2659,1817,3208,3986,2031,2242
ENSG00000018510,743,713,883,503,903,1310,710,802
ENSG00000018607,0,0,0,0,0,0,1,0
ENSG00000018610,304,235,337,190,337,353,252,250
ENSG00000018625,334,176,2889,841,238,161,521,247
ENSG00000018699,245,209,285,194,324,405,297,254
ENSG00000018869,52,58,71,43,79,77,56,41
ENSG00000019102,1,0,4,7,16,27,4,3
ENSG00000019144,2786,3651,3236,1888,2973,4368,2247,3230
ENSG00000019169,0,2,0,0,0,0,0,0
ENSG00000019186,70,3,9,0,12,2,20,0
ENSG00000019485,183,199,194,122,157,217,141,275
ENSG00000019505,0,0,0,0,0,0,0,0
ENSG00000019549,3302,5290,2847,1591,3859,2979,2231,2289
ENSG00000019582,23,15,100,34,32,23,75,50
ENSG00000019991,1529,909,1319,405,2440,1206,1544,699
ENSG00000019995,1338,2505,1585,1850,2011,3826,1278,2446
ENSG00000020129,1443,929,1280,469,1384,1263,1091,756
ENSG00000020181,9153,5457,9560,3956,9105,11219,9402,7425
ENSG00000020219,0,0,0,0,1,0,1,0
ENSG00000020256,326,284,446,153,413,449,293,235
ENSG00000020426,161,132,238,125,232,292,127,171
ENSG00000020577,2102,3748,1923,2684,2036,5377,1930,5006
ENSG00000020633,123,151,97,65,3,3,113,172
ENSG00000020922,325,279,389,239,378,499,359,363
ENSG00000021300,18,6,18,11,22,19,13,13
ENSG00000021355,536,660,627,512,577,1025,403,717
ENSG00000021461,0,0,0,0,0,0,0,1
ENSG00000021488,2,2,1,0,3,2,0,1
ENSG00000021574,500,475,567,369,518,547,481,552
ENSG00000021645,8,20,42,63,12,40,7,77
ENSG00000021762,1433,1673,1192,771,1376,2276,1014,1515
ENSG00000021776,1111,1014,1230,802,1310,1880,952,1251
ENSG00000021826,397,259,474,216,299,299,355,311
ENSG00000021852,0,0,0,0,0,0,0,0
ENSG00000022267,7354,8775,11436,8544,8584,16109,9346,13964
ENSG00000022277,1404,1281,1676,955,1601,2409,1344,1364
ENSG00000022355,0,0,0,0,0,0,0,0
ENSG00000022556,0,0,1,0,1,1,0,1
ENSG00000022567,134,130,151,97,165,259,131,167
ENSG00000022840,2599,2616,2910,2091,2820,4016,2066,2620
ENSG00000022976,195,122,263,118,209,259,157,159
ENSG00000023041,636,662,749,480,767,968,563,692
ENSG00000023171,70,24,91,33,197,147,82,68
ENSG00000023191,5592,5383,6055,3227,3972,5884,4004,4888
ENSG00000023228,1559,1458,1771,1108,1976,2335,1325,1644
ENSG00000023287,2561,2374,2933,1990,3640,3732,2434,3230
ENSG00000023318,1317,1231,1490,1038,1602,2268,1159,1428
ENSG00000023330,1026,815,1155,522,1528,1441,845,719
ENSG00000023445,62,77,46,32,44,46,39,98
ENSG00000023516,1901,1496,2119,1185,2318,2788,1851,1823
ENSG00000023572,94,104,93,81,84,123,81,70
ENSG00000023608,136,196,234,232,238,495,154,232
ENSG00000023697,474,517,488,364,486,688,388,495
ENSG00000023734,1638,1972,2207,1551,2519,3237,1575,1916
ENSG00000023839,18,21,9,9,14,11,14,22
ENSG00000023892,4,2,6,3,14,8,3,6
ENSG00000023902,636,732,630,497,837,1381,508,637
ENSG00000023909,990,1611,1304,1842,1364,4543,1237,2884
ENSG00000024048,1304,1128,1550,964,1454,1871,1171,1466
ENSG00000024422,10940,11446,13005,7734,14671,19665,9118,10741
ENSG00000024526,26,21,16,8,16,12,17,14
ENSG00000024862,206,229,291,185,256,243,165,239
ENSG00000025039,4,15,6,3,7,8,5,7
ENSG00000025156,307,213,315,146,330,304,220,234
ENSG00000025293,1601,1390,1668,937,1915,1973,1411,1238
ENSG00000025423,232,69,637,56,89,40,245,53
ENSG00000025434,374,454,484,276,456,483,307,392
ENSG00000025708,110,280,87,82,114,309,56,154
ENSG00000025770,423,364,401,194,352,444,294,260
ENSG00000025772,832,555,939,386,1548,1087,623,512
ENSG00000025796,2806,2298,4367,2452,4270,5009,3203,3085
ENSG00000025800,1700,1614,2056,1402,2353,2913,1542,1763
ENSG00000026025,32264,20759,37558,21944,39307,26565,33928,26662
ENSG00000026036,62,41,75,16,33,64,38,31
ENSG00000026103,1013,863,1394,682,1390,1835,1019,967
ENSG00000026297,115,66,139,53,112,121,107,80
ENSG00000026508,19273,12357,25453,14886,24143,26890,23210,20267
ENSG00000026559,24,18,10,2,23,23,23,8
ENSG00000026652,419,316,315,168,532,513,298,306
ENSG00000026751,0,0,0,1,0,0,0,0
ENSG00000026950,1051,472,1135,388,1166,761,763,391
ENSG00000027001,502,347,740,311,649,751,634,439
ENSG00000027075,19,40,62,48,78,177,60,190
ENSG00000027644,2,0,1,0,2,1,0,0
ENSG00000027697,1322,1566,1340,1211,1587,1814,1086,1614
ENSG00000027847,492,381,570,241,511,720,400,356
ENSG00000027869,1,0,1,0,0,1,0,0
ENSG00000028116,155,171,207,133,227,272,179,224
ENSG00000028137,398,575,600,472,288,1006,337,546
ENSG00000028203,991,847,1662,971,1360,1515,1099,1203
ENSG00000028277,70,14,34,3,104,33,34,9
ENSG00000028310,525,481,703,357,692,948,513,509
ENSG00000028528,3488,2805,4378,2386,4248,4770,3301,3315
ENSG00000028839,437,364,514,245,661,532,417,315
ENSG00000029153,242,186,313,164,297,349,241,275
ENSG00000029363,3169,2519,4148,2247,3766,4623,3054,3061
ENSG00000029364,1442,1008,1718,958,1705,1998,1362,1285
ENSG00000029534,59,29,170,78,98,148,84,70
ENSG00000029559,0,0,5,0,0,1,0,0
ENSG00000029639,127,87,125,75,98,166,113,96
ENSG00000029725,1573,1401,1769,1045,1925,2087,1627,1751
ENSG00000029993,518,369,892,362,831,749,632,523
ENSG00000030066,991,835,919,610,1054,1321,905,887
ENSG00000030110,180,182,193,114,205,296,158,155
ENSG00000030304,24,46,31,15,24,29,39,23
ENSG00000030419,208,155,257,152,209,501,183,248
ENSG00000030582,10904,7964,13735,6999,13548,14104,12219,11364
ENSG00000031003,1112,857,1312,746,1239,1646,1096,1263
ENSG00000031081,364,174,425,147,599,489,369,232
ENSG00000031544,2,1,3,6,5,6,5,1
ENSG00000031691,56,54,83,52,115,126,93,113
ENSG00000031698,3342,2305,3980,1564,3815,2943,3310,2169
ENSG00000031823,1780,1238,2312,777,1884,2029,1509,1213
ENSG00000032219,619,566,804,404,777,832,606,750
ENSG00000032389,238,194,295,114,225,352,137,191
ENSG00000032444,1140,1097,1529,927,1440,1899,956,1281
ENSG00000032742,263,144,354,123,321,274,232,144
ENSG00000033011,304,275,363,202,337,469,288,280
ENSG00000033030,370,395,413,249,444,479,336,399
ENSG00000033050,1075,1342,1243,880,1599,2336,929,1135
ENSG00000033100,2131,1719,2559,1515,2747,3922,1923,1953
ENSG00000033122,6,3,12,3,6,7,7,8
